person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
58,26708,MORTGAGE,0.8,DEBTCONSOLIDATION,C,31554,,1,1.181,N,30.0
48,18161,RENT,4.9,DEBTCONSOLIDATION,C,28916,13.49,1,1.592,Y,29.0
34,80330,OWN,1.6,PERSONAL,A,27372,7.83,0,0.341,N,14.0
62,51225,RENT,3.3,MEDICAL,D,30048,,1,0.587,N,30.0
27,22607,MORTGAGE,0.4,PERSONAL,A,20669,8.19,1,0.914,N,9.0
40,22537,RENT,3.1,HOMEIMPROVEMENT,B,10777,11.22,0,0.478,N,22.0
58,40075,RENT,1.8,DEBTCONSOLIDATION,B,21968,10.18,1,0.548,N,30.0
38,133440,RENT,8.6,HOMEIMPROVEMENT,A,12292,6.32,0,0.092,N,17.0
42,41950,RENT,0.3,MEDICAL,C,14923,12.87,0,0.356,N,24.0
30,19892,RENT,2.7,DEBTCONSOLIDATION,B,28703,9.65,1,1.443,N,8.0
30,42300,MORTGAGE,3.1,HOMEIMPROVEMENT,C,19657,13.97,0,0.465,N,9.0
43,41621,RENT,6.5,VENTURE,B,4629,8.52,0,0.111,N,25.0
55,15000,RENT,4.3,EDUCATION,A,3114,8.21,1,0.208,N,30.0
59,47449,MORTGAGE,5.5,DEBTCONSOLIDATION,C,26574,13.36,0,0.56,N,30.0
43,42678,RENT,7.5,EDUCATION,A,33349,8.38,1,0.781,Y,21.0
22,74438,MORTGAGE,9.9,PERSONAL,B,23257,9.63,0,0.312,N,4.0
41,148653,MORTGAGE,1.9,HOMEIMPROVEMENT,A,18973,6.42,0,0.128,N,21.0
21,96368,MORTGAGE,3.9,PERSONAL,C,26737,13.01,0,0.277,N,3.0
43,41717,MORTGAGE,9.2,DEBTCONSOLIDATION,C,13047,12.98,0,0.313,N,23.0
63,25237,RENT,22.8,EDUCATION,B,23113,11.47,1,0.916,Y,30.0
49,229582,MORTGAGE,11.0,EDUCATION,F,1694,21.96,1,0.007,Y,30.0
57,50793,RENT,2.3,HOMEIMPROVEMENT,D,16588,18.29,1,0.327,N,30.0
21,49432,RENT,,DEBTCONSOLIDATION,C,21067,12.91,0,0.426,N,1.0
40,48316,MORTGAGE,3.4,VENTURE,C,7704,9.48,0,0.159,N,20.0
52,55207,RENT,6.8,VENTURE,A,2971,7.01,0,0.054,Y,30.0
31,44953,MORTGAGE,3.4,HOMEIMPROVEMENT,C,12441,13.78,0,0.277,N,12.0
